studyId,pmid
ptad_msk_2024,38758238
rbl_cfdna_msk_2020,32633890
rbl_mskcc_2020,33466343
rcc_iatlas_immotion150_2018,29867230
rectal_msk_2019,31591597
rectal_msk_2022,35970919
rectal_radiation_msk_2024,40100215
rms_msk_2023,37315267
rms_nih_2014,24436047
sarc_mskcc,20601955
sarc_tcga_pan_can_atlas_2018,29596782
sarc_tcga_pan_can_atlas_2018,29617662
sarc_tcga_pan_can_atlas_2018,29622463
sarc_tcga_pan_can_atlas_2018,29625048
sarc_tcga_pan_can_atlas_2018,29625049
sarc_tcga_pan_can_atlas_2018,29625050
sarc_tcga_pan_can_atlas_2018,29625055
sarc_tcga_pan_can_atlas_2018,29850653
sarc_tcga_pan_can_atlas_2018,32214244
sarc_tcga_pan_can_atlas_2018,36334560
sarc_tcga_pub,29100075
sarcoma_msk_2022,35705558
sarcoma_msk_2023,37350195
sarcoma_mskcc_2022,35705560
sarcoma_ucla_2024,39305899
scco_mskcc,24658004
schw_ctf_synodos_2025,33025139
sclc_cancercell_gardner_2017,28196596
sclc_clcgp,22941188
sclc_jhu,22941189
sclc_ucologne_2015,26168399
sft_sysucc_2023,37980418
skcm_broad,22817889
skcm_broad_brafresist_2012,24265153
skcm_broad_dfarber,22622578
skcm_dfci_2015,26359337
skcm_mskcc_2014,25409260
skcm_tcga_pan_can_atlas_2018,29596782
skcm_tcga_pan_can_atlas_2018,29617662
skcm_tcga_pan_can_atlas_2018,29622463
skcm_tcga_pan_can_atlas_2018,29625048
skcm_tcga_pan_can_atlas_2018,29625049
skcm_tcga_pan_can_atlas_2018,29625050
skcm_tcga_pan_can_atlas_2018,29625055
skcm_tcga_pan_can_atlas_2018,29850653
skcm_tcga_pan_can_atlas_2018,30643250
skcm_tcga_pan_can_atlas_2018,32214244
skcm_tcga_pan_can_atlas_2018,36334560
skcm_tcga_pub_2015,26091043
skcm_vanderbilt_mskcc_2015,32913971
skcm_yale,22842228
soft_tissue_msk_2023,37730754
soft_tissue_myod1_msk_2025,41758938
stad_oncosg_2018,29670109
stad_pfizer_uhongkong,24816253
stad_tcga_pan_can_atlas_2018,29596782
stad_tcga_pan_can_atlas_2018,29617662
stad_tcga_pan_can_atlas_2018,29622463
stad_tcga_pan_can_atlas_2018,29625048
stad_tcga_pan_can_atlas_2018,29625049
stad_tcga_pan_can_atlas_2018,29625050
stad_tcga_pan_can_atlas_2018,29625055
stad_tcga_pan_can_atlas_2018,29850653
